Date,walk_forward,fixed_6_30,hindsight_20_200,nifty100
2021-05-11,3204565.5576000675,1272648.306526632,4180802.5982581577,2604985.6733005303
2021-05-12,3192763.4021265414,1240587.1258964085,4167286.9397808868,2582248.1921368353
2021-05-14,3169643.413919341,1220282.5131873607,4147294.081817403,2574134.5387129304
2021-05-17,3212571.1996348687,1235588.862792764,4184332.597822177,2615755.146890696
2021-05-18,3233868.5438239714,1261531.6789768073,4212101.082944732,2648712.9804364145
2021-05-19,3224375.879658661,1260503.1113851033,4219943.696102277,2639624.3986905282
2021-05-20,3232794.3257043334,1238309.142245536,4205452.432230966,2620918.2842075326
2021-05-21,3262920.844278254,1242739.1739964054,4251128.849850114,2663076.3884484856
2021-05-24,3274185.8754689596,1247370.1768146777,4249190.260388716,2669386.045475728
2021-05-25,3276680.4869397245,1249983.9373515546,4262638.715144655,2670139.1067814776
2021-05-26,3275782.0135948923,1244778.9916154728,4282729.946036196,2683378.508316376
2021-05-27,3292390.902181299,1257430.557102579,4288233.905306641,2690610.520369581
2021-05-28,3299642.6759549784,1242646.9206894834,4276295.958194322,2705453.6374338167
2021-05-31,3337205.6610814366,1256333.5513843393,4316990.62073089,2734434.336478884
2021-06-01,3342591.1763905482,1244073.9427270372,4314804.184845165,2732797.721803026
2021-06-02,3376554.817276703,1258894.4500911047,4317651.153419172,2740174.7849966204
2021-06-03,3384752.982739689,1261231.0459179946,4330067.083242014,2761528.7453293703
2021-06-04,3382164.3744649948,1268365.8465168276,4330484.627651915,2760322.7635263773
2021-06-07,3411821.575891644,1280502.5587423716,4351603.418771227,2772892.066584142
2021-06-08,3410732.4558384796,1297895.9541269462,4380672.835379534,2772624.575635604
2021-06-09,3380223.8363193637,1289414.634044204,4373571.9201611765,2753125.6640793905
2021-06-10,3419891.2179568717,1298526.4559083108,4410144.585621871,2775362.6438277275
2021-06-11,3408518.67439357,1299003.205201218,4428729.114927314,2786190.7331258524
2021-06-14,3370650.469981491,1288254.378293893,4445400.094588463,2786705.2388002495
2021-06-15,3352740.5026465915,1279394.415392276,4434152.284999659,2796550.720860215
2021-06-16,3294511.5355668794,1260050.246943865,4425052.981887125,2777293.797763878
2021-06-17,3239874.238025227,1245269.527022284,4434064.350849387,2762509.7849091575
2021-06-18,3263879.945781323,1230402.98225716,4418523.836775387,2758903.297594564
2021-06-21,3315102.8960158927,1242535.746961919,4438906.895132167,2772026.7731734114
2021-06-22,3330001.1527386773,1253750.6103664206,4464700.065458814,2778186.8907704
2021-06-23,3309941.4846893167,1248718.901878145,4450054.067649099,2761900.3002721863
2021-06-24,3304667.9163255924,1247229.2813363445,4489758.388596341,2775584.049332256
2021-06-25,3317027.796048324,1250996.1630853072,4506370.919645057,2788672.3735296163
2021-06-28,3345455.9976309715,1245732.8938153083,4521523.565201028,2783100.1319363774
2021-06-29,3348603.695319229,1245111.5698414051,4524804.7804851765,2773181.7488856316
2021-06-30,3329087.3491520765,1244024.4824545386,4528137.683411677,2767536.8705827454
2021-07-01,3339440.8277641297,1237699.0596230507,4533777.866187179,2762222.142335657
2021-07-02,3363703.1753966846,1234047.8188441808,4555683.424900891,2767224.755296477
2021-07-05,3371159.0752163185,1238839.5138351226,4566731.4346816735,2786459.7170399916
2021-07-06,3370973.196854708,1239417.7043406756,4568311.801743722,2784481.028126725
2021-07-07,3381706.2377858874,1255113.370778842,4580388.413046639,2795296.4828727474
2021-07-08,3340846.358997766,1248586.9211131434,4544940.068896877,2772580.712660647
2021-07-09,3366611.8632970904,1260243.6568959,4563478.609517223,2767529.999154381
2021-07-12,3373828.7252263217,1266683.3619414358,4576533.888555786,2768154.5875667254
2021-07-13,3376574.066765868,1267705.6218437396,4587065.852748795,2785408.320320974
2021-07-14,3370759.514197857,1271697.601888926,4613511.951168716,2791804.5568393627
2021-07-15,3370243.37449429,1273080.2978531064,4648187.618577757,2804236.1865901165
2021-07-16,3396281.594401169,1275347.0655011036,4660812.457475265,2806262.562212371
2021-07-19,3383821.6497951644,1281911.868041825,4647244.963052406,2777634.7871604543
2021-07-20,3367103.7373890993,1268221.2513221204,4609925.416763928,2756670.3693232285
2021-07-22,3392182.223264743,1280349.4206350949,4650494.84466108,2792973.946270592
2021-07-23,3392144.2018637424,1277590.216605657,4667708.059473649,2797910.61673153
2021-07-26,3406184.183773426,1292454.2885903646,4708789.672930749,2793562.529838413
2021-07-27,3314616.471324447,1301399.7794830003,4622973.48286308,2779426.374573461
2021-07-28,3316257.707599861,1304756.6843085587,4609689.291717846,2775470.821522896
2021-07-29,3305962.533849595,1328281.9207055052,4621654.854181837,2786651.831939937
2021-07-30,3336789.820478002,1324897.3695137391,4702249.94549556,2785761.4525837
2021-08-02,3367475.560069615,1329314.080582564,4723288.468856885,2807933.1654235325
2021-08-03,3412854.346851042,1340642.3235138957,4789714.156423144,2848373.1615907033
2021-08-04,3399244.7561400514,1326485.1273059768,4777382.369272712,2864792.652720291
