symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
DRREDDY,163,2019-07-12,530.9239755249023,2019-08-05,503.33850608825685,-4496.431518173206,203.21195815364598,652.0,-4047.6434763268526,24,bear_cross
INDIGO,52,2019-07-29,1577.935,2019-08-08,1493.2575000000002,-4403.229999999989,193.32371638606,0.0,-4596.553716386049,10,bear_cross
LUPIN,105,2019-08-08,787.7644877624512,2019-08-16,732.1650000000001,-5837.946215057363,193.30960755133643,0.0,-6031.255822608699,8,bear_cross
UNITDSPR,138,2019-08-08,604.0563627624512,2019-08-22,575.6572256469727,-3919.0809219360226,196.73415648503317,0.0,-4115.815078421056,14,bear_cross
ACC,51,2019-08-16,1593.975,2019-08-22,1479.4421493530274,-5841.175382995599,190.14135970332802,0.0,-6031.316742698928,6,bear_cross
SUNPHARMA,201,2019-07-16,421.8519877624512,2019-08-23,413.96250000000003,-1585.787040252682,202.3417092938683,552.75,-1235.3787495465504,38,bear_cross
BHARTIARTL,230,2019-08-08,360.1531118011474,2019-09-04,328.9833416748047,-7169.047129058824,192.1955694377145,0.0,-7361.242698496539,27,bear_cross
TITAN,74,2019-08-27,1110.77,2019-09-09,1062.3375,-3584.004999999992,194.49475917672999,0.0,-3778.499759176722,13,bear_cross
ASIANPAINT,59,2019-07-23,1412.5225,2019-09-11,1541.1375,7588.285000000001,208.62535587664001,0.0,7379.6596441233605,50,bear_cross
ICICIGI,70,2019-07-31,1152.875,2019-09-12,1132.5116006469727,-1425.4379547119083,193.40635152815418,0.0,-1618.8443062400625,43,bear_cross
TCS,37,2019-08-05,2205.3996520996093,2019-09-12,2149.6125,-2064.124627685537,194.74285032561158,0.0,-2258.8674780111487,38,bear_cross
PIDILITIND,134,2019-07-29,620.9986372375488,2019-09-20,648.375,3668.432610168462,204.28075349509032,0.0,3464.1518566733716,53,bear_cross
BIOCON,316,2019-09-09,237.54237194061278,2019-09-25,224.3876219558716,-4156.900995178215,178.02953576040875,0.0,-4334.930530938624,16,bear_cross
LUPIN,101,2019-09-11,768.9174999999999,2019-09-26,731.1675,-3812.7499999999886,184.16501525551,0.0,-3996.9150152554985,15,bear_cross
DABUR,6,2019-07-02,404.0075,2019-10-07,424.0871189117432,120.4777134704591,20.858028707360535,9.0,108.61968476309855,97,bear_cross
SAIL,2362,2019-09-25,34.085,2019-10-07,31.271625380516053,-6645.190851221086,187.56311674103816,0.0,-6832.753967962124,12,bear_cross
BEL,2384,2019-08-29,34.502705783844,2019-10-10,34.94574949264526,1056.2162017822097,199.4364137481375,0.0,856.7797880340722,42,bear_cross
ACC,49,2019-09-23,1659.1374999999998,2019-10-10,1456.1505487060547,-9946.360613403313,185.89376778434172,0.0,-10132.254381187655,17,bear_cross
ITC,337,2019-09-26,238.724259109497,2019-10-16,237.62967189788822,-368.87589031216453,193.9436189107533,0.0,-562.8195092229179,20,bear_cross
BAJAJFINSV,16,2019-09-12,737.33875,2019-10-30,817.6357850646973,1284.7525610351568,42.919851600373235,0.0,1241.8327094347835,48,bear_cross
ADANIPORTS,215,2019-09-12,375.9375,2019-10-31,398.25187500000004,4797.590625000009,200.14095546866878,0.0,4597.44966953134,49,bear_cross
VOLTAS,136,2019-08-08,604.00625,2019-11-11,693.2625,12138.850000000002,210.68976384130002,0.0,11928.160236158701,95,bear_cross
HEROMOTOCO,20,2019-10-30,2723.7925,2019-11-11,2628.4125000000004,-1907.599999999993,134.55956910460003,0.0,-2042.1595691045932,12,bear_cross
DIVISLAB,42,2019-09-04,1652.12,2019-11-14,1664.3287500000001,512.7675000000099,170.249516941585,0.0,342.5179830584249,71,bear_cross
ONGC,589,2019-10-15,137.3425,2019-11-19,134.6625,-1578.520000000004,193.67800548367,0.0,-1772.198005483674,35,bear_cross
SAMMAANCAP,425,2019-11-14,198.82916156768798,2019-11-21,186.27845226287843,-5334.0514545440565,197.80836247418296,2651.8725,-2879.9873170182395,7,bear_cross
HCLTECH,148,2019-10-16,545.8612499999999,2019-11-27,553.11375,1073.370000000008,196.19044205979998,148.0,1025.179557940208,42,bear_cross
BPCL,321,2019-11-20,265.1111372375488,2019-11-27,245.88375000000002,-6171.9913032531595,198.2701422566356,0.0,-6370.2614455097955,7,bear_cross
DABUR,179,2019-11-28,468.16749999999996,2019-11-29,465.58312500000005,-462.6031249999837,201.30374903229625,0.0,-663.90687403228,1,bear_cross
VOLTAS,115,2019-11-15,717.79,2019-12-04,686.0804878234864,-3646.5939002990654,195.20599923846635,0.0,-3841.799899537532,19,bear_cross
TECHM,118,2019-08-23,685.9606249999999,2019-12-09,757.5513871765137,8447.709936828622,204.18744971797062,0.0,8243.522487110651,108,bear_cross
AXISBANK,116,2019-10-15,684.3064755249023,2019-12-09,711.6663871765137,3173.7497515869172,195.23704501215383,0.0,2978.5127065747633,55,bear_cross
