symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
TMPV,1002,2019-02-05,180.25,2019-02-11,150.6999969482422,-29609.103057861328,0.0,0.0,-29609.103057861328,6,bear_cross
IOC,1920,2019-01-29,92.03333282470705,2019-02-15,83.0999984741211,-17152.00195312503,0.0,0.0,-17152.00195312503,17,bear_cross
SHREECEM,10,2019-02-15,15607.650390625,2019-02-18,15614.650390625,70.0,0.0,0.0,70.0,3,bear_cross
DRREDDY,341,2019-01-23,528.0599975585938,2019-02-19,513.1099853515625,-5097.954162597656,0.0,0.0,-5097.954162597656,27,bear_cross
MARUTI,24,2019-02-12,7177.89990234375,2019-02-19,6842.7001953125,-8044.79296875,0.0,0.0,-8044.79296875,7,bear_cross
ASIANPAINT,127,2019-02-01,1412.5999755859375,2019-02-20,1377.8499755859375,-4413.25,0.0,0.0,-4413.25,19,bear_cross
INDIGO,150,2019-01-29,1171.300048828125,2019-02-21,1140.0,-4695.00732421875,0.0,0.0,-4695.00732421875,23,bear_cross
LTM,102,2019-02-05,1754.699951171875,2019-02-21,1735.5,-1958.39501953125,0.0,0.0,-1958.39501953125,16,bear_cross
BAJFINANCE,697,2019-02-06,260.3599853515625,2019-02-21,260.614990234375,177.7384033203125,0.0,0.0,177.7384033203125,15,bear_cross
HCLTECH,377,2019-01-25,473.2250061035156,2019-03-12,502.2000122070313,10923.577301025412,0.0,377.0,11300.577301025412,46,bear_cross
TECHM,212,2019-01-22,713.9000244140625,2019-03-18,799.2999877929688,18104.792236328125,0.0,0.0,18104.792236328125,55,bear_cross
DMART,9,2019-02-11,1477.5,2019-04-08,1449.300048828125,-253.799560546875,0.0,0.0,-253.799560546875,56,bear_cross
ASIANPAINT,127,2019-03-18,1432.550048828125,2019-04-16,1431.550048828125,-127.0,0.0,0.0,-127.0,29,bear_cross
MUTHOOTFIN,327,2019-02-22,534.3499755859375,2019-04-25,586.7000122070312,17118.461975097656,0.0,3924.0,21042.461975097656,62,bear_cross
AMBUJACEM,110,2019-04-16,227.4499969482422,2019-04-25,224.1000061035156,-368.498992919925,0.0,0.0,-368.498992919925,9,bear_cross
JINDALSTEL,1162,2019-02-21,149.8000030517578,2019-04-30,175.14999389648438,29456.689361572266,0.0,0.0,29456.689361572266,68,bear_cross
PFC,1980,2019-02-22,88.36000061035156,2019-04-30,92.16000366210938,7524.006042480469,0.0,0.0,7524.006042480469,67,bear_cross
RECLTD,1817,2019-02-21,95.8125,2019-05-02,110.6624984741211,26982.447227478027,0.0,14990.25,41972.69722747803,70,bear_cross
MARUTI,24,2019-04-08,7107.7001953125,2019-05-02,6666.39990234375,-10591.20703125,0.0,0.0,-10591.20703125,24,bear_cross
INDHOTEL,1274,2019-02-25,138.56593322753906,2019-05-09,142.7355194091797,5312.052795410156,0.0,0.0,5312.052795410156,73,bear_cross
BAJFINANCE,665,2019-02-26,265.7749938964844,2019-05-13,292.2850036621094,17629.156494140625,0.0,0.0,17629.156494140625,76,bear_cross
ABB,117,2019-03-12,1149.5306396484375,2019-05-15,1247.9425048828125,11514.188232421875,0.0,561.6,12075.788232421875,64,bear_cross
HDFCBANK,325,2019-05-03,588.9500122070312,2019-05-16,571.6749877929688,-5614.3829345703125,0.0,0.0,-5614.3829345703125,13,bear_cross
BPCL,978,2019-05-07,195.1750030517578,2019-05-16,179.77499389648438,-15061.208953857422,0.0,0.0,-15061.208953857422,9,bear_cross
ONGC,1196,2019-02-26,147.75,2019-06-11,164.64999389648438,20212.392700195312,0.0,7475.0,27687.392700195312,105,bear_cross
BPCL,994,2019-05-20,188.1000061035156,2019-06-18,189.0749969482422,969.1408996582313,0.0,0.0,969.1408996582313,29,bear_cross
VBL,3658,2019-05-03,52.33777618408203,2019-06-19,53.52000045776367,4324.576393127441,0.0,0.0,4324.576393127441,47,bear_cross
