symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
EICHERMOT,76,2015-03-11,1606.0049999999999,2015-03-12,1609.9650000000001,300.96000000002005,287.20471661032,0.0,13.755283389700054,1,bear_cross
ICICIBANK,175,2015-03-11,304.03091743469236,2015-03-12,306.09648834228517,361.4749088287425,134.08703209821812,0.0,227.3878767305244,1,bear_cross
SHREECEM,13,2014-12-26,9273.125,2015-03-13,10889.7075,21015.572500000006,305.344158112435,0.0,20710.22834188757,77,bear_cross
ABB,99,2015-02-11,1251.426428222656,2015-03-13,1199.8602630615235,-5105.05035095213,285.67865506368366,0.0,-5390.729006015814,30,bear_cross
TECHM,170,2015-03-18,720.29625,2015-03-20,687.2276371765137,-5621.664179992675,281.9370877440405,0.0,-5903.601267736715,2,bear_cross
BANKBARODA,664,2015-03-19,184.9111219406128,2015-03-23,173.26574695587158,-7732.528989868163,280.4828367606241,0.0,-8013.011826628787,4,bear_cross
EICHERMOT,76,2015-03-18,1598.9875,2015-03-24,1585.5262500000001,-1023.0549999999876,284.64461652127,0.0,-1307.6996165212577,6,bear_cross
ASIANPAINT,134,2015-03-20,838.0899999999999,2015-03-25,811.7654878234864,-3527.48463165281,261.5359866149356,0.0,-3789.0206182677457,5,bear_cross
BPCL,968,2015-03-25,123.641669216156,2015-03-26,123.50712398529053,-130.23978347777495,281.4818148194076,0.0,-411.72159829718254,1,bear_cross
KOTAKBANK,892,2015-03-25,134.14452255249023,2015-03-26,131.14132621765137,-2678.8511306762643,278.77508217400305,0.0,-2957.6262128502676,1,bear_cross
NESTLEIND,342,2015-03-05,365.91249999999997,2015-03-27,344.0377439117432,-7481.166582183821,285.99658306554295,0.0,-7767.163165249364,22,bear_cross
MARUTI,32,2015-04-06,3655.115,2015-04-13,3651.8475000000003,-104.55999999998312,275.4537276568,0.0,-380.01372765678315,7,bear_cross
INDHOTEL,1123,2015-04-01,105.53224617004393,2015-04-21,94.27900108337403,-12637.394232330305,265.89839620800933,0.0,-12903.292628538315,20,bear_cross
BRITANNIA,125,2015-02-16,1019.5424999999999,2015-04-24,1082.2875000000001,7843.125000000029,307.01280349750004,0.0,7536.1121965025295,67,bear_cross
DIVISLAB,143,2015-02-26,876.435625,2015-04-24,892.7625,2334.7431250000122,296.59841941536627,0.0,2038.144705584646,57,bear_cross
DRREDDY,168,2015-02-18,665.0585244750977,2015-04-28,675.7065243530274,1788.8639794921883,265.7736494658635,0.0,1523.0903300263246,69,bear_cross
ADANIPORTS,303,2015-04-13,321.30125,2015-04-28,306.2325,-4565.831249999989,227.19834688060752,0.0,-4793.029596880597,15,bear_cross
IOC,167,2015-02-25,55.15420807838441,2015-04-29,58.51999746322633,562.0868272686015,36.41530549233827,0.0,525.6715217762633,63,bear_cross
BHARTIARTL,340,2015-03-13,360.4554710388183,2015-04-29,354.20762901306153,-2124.266288757301,285.79779693360274,0.0,-2410.0640856909035,47,bear_cross
BAJFINANCE,2815,2015-04-08,43.520027770996094,2015-04-29,40.66807545661926,-8028.245764970779,279.5706719450104,0.0,-8307.81643691579,21,bear_cross
ZYDUSLIFE,363,2015-03-18,348.1080902099609,2015-04-30,335.16,-4700.156746215795,291.59847466235715,0.0,-4991.755220878152,43,bear_cross
BPCL,882,2015-04-01,135.4962363052368,2015-04-30,125.69331047058107,-8646.180586166362,272.2525218761203,0.0,-8918.433108042482,29,bear_cross
AXISBANK,202,2015-05-06,565.4601127624511,2015-05-12,551.6175000000001,-2796.2077780151103,266.56377104168183,0.0,-3062.771549056792,6,bear_cross
ICICIBANK,381,2015-05-04,303.25624999999997,2015-05-13,283.9701191711426,-7348.015845794662,264.7733071660525,0.0,-7612.789152960715,9,bear_cross
MARUTI,30,2015-05-04,3806.4925,2015-05-13,3610.9500000000003,-5866.274999999987,263.31619687465,0.0,-6129.591196874637,9,bear_cross
ONGC,501,2015-05-06,226.96599388122561,2015-05-15,210.0735060882568,-8463.136384277374,259.5435815923498,0.0,-8722.679965869724,9,bear_cross
PIDILITIND,376,2015-05-15,299.24625,2015-05-25,275.03569358825683,-9103.16921081542,256.2245772727648,0.0,-9359.393788088186,10,bear_cross
HINDALCO,801,2015-05-11,141.1520030593872,2015-05-29,130.62262195587158,-8434.03426391601,258.1338551050876,0.0,-8692.168119021098,18,bear_cross
ADANIPORTS,329,2015-05-05,350.4740061187744,2015-06-03,310.2225,-13242.745513076774,258.13595315913045,361.90000000000003,-13138.981466235904,29,bear_cross
ASIANPAINT,147,2015-06-04,765.8097744750976,2015-06-09,742.9379878234864,-3362.1526377868404,262.3081507481593,0.0,-3624.4607885349997,5,bear_cross
HCLTECH,241,2015-05-15,463.65625,2015-06-10,456.35625000000005,-1759.299999999989,262.117956943075,0.0,-2021.417956943064,26,bear_cross
SHREECEM,8,2015-05-15,11413.4625,2015-06-11,10639.335000000001,-6193.0199999999895,212.05779054628002,0.0,-6405.077790546269,27,bear_cross
EICHERMOT,19,2015-05-12,1699.2375,2015-06-12,1720.6725228881837,407.26543487549156,87.59169524188246,0.0,319.6737396336091,31,bear_cross
INFY,205,2015-05-29,502.46552513122555,2015-06-17,504.23625000000004,362.9985980987712,244.88429955280094,1511.875,1629.9892985459703,19,bear_cross
BAJFINANCE,2603,2015-05-12,43.757619781494135,2015-07-22,51.57075076103211,20337.579939737345,289.84682659910146,468.53999999999996,20516.273113138246,71,bear_cross
MOTHERSON,2900,2015-06-18,39.49838297843933,2015-07-29,40.63175139427185,3286.7684059143116,273.59149491488586,1145.6798000000001,4158.856710999426,41,bear_cross
TVSMOTOR,345,2015-06-18,231.326875,2015-07-29,234.8114939117432,1202.193524551408,194.1444513362933,0.0,1008.0490732151147,41,bear_cross
EICHERMOT,58,2015-06-18,1938.4490277099608,2015-07-30,1934.5515243530274,-226.0551947021363,265.2411991624571,0.0,-491.2963938645934,42,bear_cross
BAJAJ-AUTO,52,2015-05-11,2136.3275,2015-07-31,2526.6675,20297.680000000008,283.54914203044,2600.0,22614.130857969565,81,bear_cross
BPCL,877,2015-05-25,130.99333843231202,2015-08-13,145.3690040588379,12607.458754463203,284.0080318153965,0.0,12323.450722647807,80,bear_cross
ITC,596,2015-08-04,213.30410144805907,2015-08-19,201.06632583618162,-7293.714264678962,290.6121256918485,0.0,-7584.32639037081,15,bear_cross
GODREJCP,300,2015-06-10,374.2499726104736,2015-08-25,407.9775,10118.258216857925,275.62749080275364,99.9999,9942.630626055172,76,bear_cross
BAJFINANCE,2298,2015-07-31,54.1851242351532,2015-08-25,49.02263643264771,-11863.396970157612,280.0606809992141,0.0,-12143.457651156827,25,bear_cross
BAJAJFINSV,778,2015-05-07,144.9564887237549,2015-08-26,169.7744969558716,19308.4104045868,286.27638869356997,136.14999999999998,19158.284015893234,111,bear_cross
ZYDUSLIFE,186,2015-08-13,408.8194877624512,2015-08-26,367.4789939117432,-7689.331856231691,176.53869040699647,0.0,-7865.870546638687,13,bear_cross
