Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2023-04-26,4043434.740217328,3832691.2970519876,1816873.1432970052,861006.4022249973,3961057.664149173,3295343.378770159
2023-04-27,4032350.322309613,3820353.5219055032,1810072.046081309,859816.152978362,3989736.148793193,3312945.4622374005
2023-04-28,4091549.831586957,3876954.175439439,1836814.3968045756,874233.0548033132,4042610.515527917,3344232.360786546
2023-05-02,4142038.0658398867,3924390.93663939,1859261.8155973002,880192.376870574,4075556.2360719424,3360146.796769419
2023-05-03,4110028.169477582,3894220.8646789407,1844975.9286191508,871607.7774290456,4064707.8320212453,3351105.039631761
2023-05-04,4132959.6379834414,3915624.538110337,1855058.0789487406,877588.0030302419,4096116.5238408777,3380709.4517370323
2023-05-05,4132110.5242749453,3913471.546075425,1854099.5313718363,873522.0348829641,4068204.3616428,3350695.230556586
2023-05-08,4149332.412031293,3929503.935113511,1861761.502746348,872972.6291365041,4100645.2658815286,3384141.8654395053
2023-05-09,4137908.822675824,3918694.0472656107,1856576.0209958598,866857.6773924245,4085415.0910744434,3383280.2971558073
2023-05-10,4166186.6082593203,3945588.4796996927,1869294.34823585,871127.7572030198,4102774.946254158,3393855.8791127997
2023-05-11,4184790.866010785,3963358.087884507,1876426.2235460125,873740.350478579,4109809.8752271933,3394451.175992062
2023-05-12,4168552.151960492,3947962.6523681497,1869125.2552385174,870986.7821649804,4091338.875112924,3395857.578877674
2023-05-15,4190689.2973462343,3968989.84578856,1879092.8771867596,875777.5036157861,4113484.048873936,3410049.7945576003
2023-05-16,4170245.841840863,3948978.0183959818,1869640.4780320965,873931.5018839135,4107006.291395674,3398060.9226350645
2023-05-17,4161408.2244702578,3940475.0555053568,1865609.2704362713,870887.3775171533,4088801.831532665,3378275.1396908574
2023-05-18,4148524.149519086,3929390.6742492532,1860367.7169084393,866234.177558352,4050850.775727674,3364975.635321385
2023-05-19,4148598.1068555117,3930599.435693345,1860953.886280998,869179.6966776147,4073577.164463182,3379184.4024389083
2023-05-22,4170302.5571118593,3952013.0064941263,1870907.6333970868,874903.932547976,4119202.4182955585,3401702.500453501
2023-05-23,4173493.8646680117,3955141.465936265,1872513.6506852948,871895.4107431665,4140622.0771270385,3408950.056890986
2023-05-24,4166541.0498486757,3954274.9198852396,1871323.6095075994,865508.1779621136,4134502.13853457,3399598.1831383123
2023-05-25,4180685.052778363,3969084.45415648,1876342.758778227,865138.278197099,4153434.5285670813,3407721.096892467
2023-05-26,4217870.096387982,4004659.644525132,1893125.3781782514,871553.7924793256,4190067.87158712,3441254.9597322047
2023-05-29,4223608.027387738,4008092.9839721536,1894789.4834333784,871134.2378681195,4211307.668237776,3459413.6132147023
2023-05-30,4247817.372236371,4031690.030175767,1905905.9312178022,871861.9171283734,4210936.067605935,3464370.0445667645
2023-05-31,4287504.668439984,4069361.586236558,1923658.2195631391,877099.2296817792,4207004.201938577,3451205.339454421
2023-06-01,4263796.519941449,4046556.089471421,1912836.12025894,872832.7631671918,4214278.933438058,3445093.4207163025
2023-06-02,4264512.053724408,4046274.653131089,1912772.6304975874,872812.186134253,4245133.512502402,3457333.4139514863
2023-06-05,4266640.729169965,4048481.157189927,1913879.3372541792,870656.0979231935,4259461.136484121,3467946.9831349486
2023-06-06,4264410.042432904,4045415.481195054,1912415.2365156538,870749.1318892579,4268457.246642426,3470534.5685124127
2023-06-07,4302276.305189252,4080778.056207261,1929014.0333296186,876939.9868544679,4309122.30695103,3495291.5030415053
2023-06-08,4287449.73502934,4067239.3625121927,1922593.1915632612,871500.3572005372,4283882.8929836415,3477146.6309932377
2023-06-09,4273432.88346684,4053210.3632446146,1916103.9429670698,864670.3863399033,4276189.744010806,3466059.8264125907
2023-06-12,4299036.00178349,4079278.2487426614,1928265.8797804243,869174.952624083,4292822.811364189,3474265.1439761426
2023-06-13,4334475.452070355,4109230.0998779153,1941102.9166694044,872209.3128886154,4321815.95821791,3497121.8579912353
2023-06-14,4334811.1107007265,4109830.0252929544,1941368.675519502,870610.7644648483,4326976.466829116,3504068.987044721
2023-06-15,4327390.3648206,4103300.02648314,1938252.3888068555,873122.20068311,4327836.617934075,3495258.2658090526
2023-06-16,4373942.537763715,4146915.0819335794,1958670.9441352247,885732.0016779831,4364462.444402812,3522450.1829885384
2023-06-19,4401400.496595502,4172912.216790757,1970293.3792406174,890415.345794194,4357501.199259834,3510807.575409074
2023-06-20,4459625.817915082,4229778.200189195,1996203.9882455154,896664.410752757,4369466.226736769,3522361.9995402205
